"","Site_ID","Date","Site_Subplot","Type","HoboName","Temp","Min","Max","Median","CV","Range","Subplot","LoggerID","TRT","Age","Day","Heatdome","MeanMin","MeanMax","MeanRange","MeanMean","MeanOffset","MinOffset","MaxOffset","RangeOffset"
"1","C1-13",2021-06-30,"C1-13_E","Air","2401795.csv",17.7066666666667,14.325,24.448,15.569,20.8120909023804,10.123,"E","2401795","THIN",63,30,0,12.6759459459459,16.9422494592646,4.26630351331865,13.9913783112105,-3.71528835545621,-1.64905405405405,-7.5057505407354,-5.85669648668135
"2","C1-13",2021-06-24,"C1-13_E","Soil","20173893.csv",14.684125,12.013,21.855,14.182,17.4923233787356,9.842,"E","20173893","THIN",63,24,1,10.1679192982456,29.6802035087719,19.5122842105263,17.8080380690442,3.12391306904417,-1.84508070175439,7.82520350877193,9.67028421052632
"3","C1-13",2021-06-21,"C1-13_E","Soil","20173893.csv",17.6123333333333,14.134,24.448,17.3795,15.8710996285534,10.314,"E","20173893","THIN",63,21,0,11.5289087719298,34.4042807017544,22.8753719298246,22.272137748004,4.65980441467062,-2.60509122807018,9.95628070175439,12.5613719298246
"4","C1-13",2021-06-24,"C1-13_N","Air","9784547.csv",16.5463333333333,11.916,25.805,14.1335,32.1659586148808,13.889,"N","9784547","THIN",63,24,1,9.87053333333333,25.1095962509012,15.2390629175679,16.7074557988324,0.161122465499023,-2.04546666666667,-0.695403749098773,1.35006291756789
"5","C1-13",2021-06-23,"C1-13_E","Soil","20173893.csv",14.0465416666667,12.013,19.187,13.221,14.9507410356269,7.174,"E","20173893","THIN",63,23,0,9.94738947368421,23.2675111111111,13.3201216374269,14.1646018812251,0.118060214558467,-2.06561052631579,4.08051111111111,6.1461216374269
"6","C1-13",2021-06-22,"C1-13_E","Soil","20173893.csv",14.9164583333333,12.883,18.14,14.134,10.8309887795723,5.257,"E","20173893","THIN",63,22,0,10.7004361932228,22.6403555555556,11.9399193623328,15.1148028447788,0.198344511445477,-2.18256380677722,4.50035555555556,6.68291936233277
"7","C1-13",2021-06-25,"C1-13_N","Air","9784547.csv",21.7435833333333,12.401,34.058,22.7645,37.2260763691581,21.657,"N","9784547","THIN",63,25,1,14.5317460881935,35.1094555555556,20.5777094673621,24.3496289427585,2.60604560942522,2.13074608819346,1.05145555555556,-1.0792905326379
"8","C1-13",2021-06-18,"C1-13_N","Air","9784547.csv",14.6985,11.722,21.951,13.4605,20.5847823538884,10.229,"N","9784547","THIN",63,18,0,9.24315789473684,20.6997543859649,11.4565964912281,13.3145580275842,-1.38394197241582,-2.47884210526316,-1.25124561403508,1.22759649122807
"9","C1-13",2021-06-19,"C1-13_N","Air","9784547.csv",14.54425,11.334,24.738,13.028,26.9018281818706,13.404,"N","9784547","THIN",63,19,0,9.14125570776256,24.0274105263158,14.8861548185532,14.3596148734779,-0.184635126522069,-2.19274429223744,-0.710589473684209,1.48215481855323
"10","C1-13",2021-06-25,"C1-13_E","Soil","20173893.csv",18.0230416666667,12.401,26.781,19.0445,24.9546077021061,14.38,"E","20173893","THIN",63,25,1,12.6072439544808,35.2648333333333,22.6575893788525,23.5819603597018,5.55891869303514,0.206243954480797,8.48383333333334,8.27758937885254
"11","C1-13",2021-06-26,"C1-13_E","Soil","20173893.csv",21.637625,17.57,28.06,21.8075,14.1298721271386,10.49,"E","20173893","THIN",63,26,1,15.8258807017544,38.8400561403509,23.0141754385965,26.2030096121897,4.5653846121897,-1.74411929824561,10.7800561403509,12.5241754385965
"12","C1-13",2021-06-23,"C1-13_N","Air","9784547.csv",14.91725,11.528,25.319,12.882,29.5996417462803,13.791,"N","9784547","THIN",63,23,0,9.68793333333333,21.268449122807,11.5805157894737,13.3003753231061,-1.61687467689391,-1.84006666666667,-4.05055087719298,-2.21048421052631
"13","C1-13",2021-06-19,"C1-13_E","Soil","20173893.csv",12.98825,10.846,16.713,12.835,14.206007624056,5.867,"E","20173893","THIN",63,19,0,9.21180365296804,27.7804140350877,18.5686103821197,15.681603212035,2.69335321203503,-1.63419634703196,11.0674140350877,12.7016103821197
"14","C1-13",2021-06-20,"C1-13_E","Soil","20173893.csv",15.7589583333333,12.11,23.484,16.427,19.1685975564911,11.374,"E","20173893","THIN",63,20,0,10.4408777777778,31.2258333333333,20.7849555555556,20.007376940107,4.24841860677368,-1.66912222222222,7.74183333333333,9.41095555555555
"15","C1-13",2021-06-28,"C1-13_E","Air","2401795.csv",28.7129166666667,15.187,38.046,30.862,25.9584812933293,22.859,"E","2401795","THIN",63,28,1,13.9388888888889,38.3482444444444,24.4093555555556,27.700448122627,-1.01246854403971,-1.24811111111111,0.302244444444447,1.55035555555556
"16","C1-13",2021-06-29,"C1-13_E","Air","2401795.csv",19.56875,14.421,33.743,17.094,31.952283560553,19.322,"E","2401795","THIN",63,29,0,12.8534701754386,21.3307087719298,8.47723859649123,15.94464042237,-3.62410957762997,-1.5675298245614,-12.4122912280702,-10.8447614035088
"17","C1-13",2021-06-27,"C1-13_N","Air","9784547.csv",33.3049166666667,19.092,49.905,34.85,29.6936554658177,30.813,"N","9784547","THIN",63,27,1,23.8581192982456,41.8508807017544,17.9927614035088,33.7258064327485,0.420889766081878,4.76611929824561,-8.05411929824562,-12.8202385964912
"18","C1-13",2021-06-20,"C1-13_N","Air","9784547.csv",18.7966666666667,11.916,28.06,19.4245,32.1290510770302,16.144,"N","9784547","THIN",63,20,0,10.7927888888889,28.9068140350877,18.1140251461988,19.1684621228384,0.371795456171746,-1.12321111111111,0.846814035087721,1.97002514619883
